,strategy
2023-10-27,1679005.1958371226
2023-10-30,1673968.1802496111
2023-10-31,1673968.1802496111
2023-11-01,1673968.1802496111
2023-11-02,1673968.1802496111
2023-11-03,1673968.1802496111
2023-11-06,1665540.1674431155
2023-11-07,1659735.4517779914
2023-11-08,1655644.6755542862
2023-11-09,1659272.1229671224
2023-11-10,1659160.8258835701
2023-11-13,1663921.9931521025
2023-11-14,1665996.8789326788
2023-11-15,1665295.838435757
2023-11-16,1667303.7473139684
2023-11-17,1659684.675176044
2023-11-20,1672938.1629415667
2023-11-21,1679076.1975418653
2023-11-22,1671074.1859340537
2023-11-23,1665302.0154878946
2023-11-24,1670063.440193756
2023-11-27,1665092.5871115306
2023-11-28,1663643.6762274606
2023-11-29,1664715.2988333048
2023-11-30,1667695.3513738294
2023-12-01,1667307.7290540421
2023-12-04,1669845.8627031848
2023-12-05,1664721.220031698
2023-12-06,1659015.1719756955
2023-12-07,1652958.7567070008
2023-12-08,1658857.1151243174
2023-12-11,1656258.071732624
2023-12-12,1655645.4998375515
2023-12-13,1654411.8135257487
2023-12-14,1653711.9271478874
2023-12-15,1654270.2919651626
2023-12-18,1637936.0673362
2023-12-19,1632118.1555523486
2023-12-20,1650097.0099977085
2023-12-21,1628982.3612422266
2023-12-22,1646111.9082420808
2023-12-25,1641969.7705760254
2023-12-26,1646444.0689334422
2023-12-27,1661564.6000589842
2023-12-28,1664280.6671880851
2023-12-29,1665914.2205575656
2024-01-02,1682657.8898511957
2024-01-03,1684861.8488113019
2024-01-04,1701585.682514476
2024-01-05,1701237.6707291433
2024-01-08,1673170.4888056186
2024-01-09,1658219.025652724
2024-01-10,1661809.77974136
2024-01-11,1636159.7534559823
2024-01-12,1648740.7315366887
